,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
51,2021-02-21,0,5031.1,18:00:00,17.9,20.6,0.0,6.0,0.0,S,30.0,20:43,18.1,87.0,8,ESE,6.0,1011.4,19.0,75,8.0,SSW,13,1010.6
52,2021-02-22,0,5100.4,07:00:00,15.9,21.8,0.0,2.8,6.3,SSW,43.0,15:24,17.8,71.0,7,WSW,9.0,1012.3,20.4,52,7.0,S,17,1012.5
53,2021-02-23,0,5213.07,07:00:00,13.1,19.2,0.0,7.2,8.5,SSE,43.0,5:09,16.4,49.0,6,SSE,15.0,1018.7,18.2,45,4.0,SSW,17,1019.4
54,2021-02-24,0,5459.82,07:00:00,13.0,20.2,0.0,5.0,9.9,S,35.0,13:42,15.3,55.0,7,ESE,9.0,1020.5,18.5,53,7.0,SSW,19,1017.8
55,2021-02-25,0,5504.37,07:00:00,11.3,24.3,0.0,5.8,8.7,SSW,39.0,19:08,13.4,72.0,7,E,4.0,1012.8,23.4,37,2.0,W,11,1009.1
56,2021-02-26,0,5401.33,07:00:00,13.3,19.7,0.4,7.0,6.3,SSW,33.0,14:18,14.7,64.0,7,WSW,7.0,1014.5,18.6,49,5.0,S,17,1014.1
57,2021-02-27,0,4836.05,20:00:00,11.3,18.6,0.0,6.0,1.0,SSW,20.0,17:50,13.5,71.0,7,NNE,6.0,1013.4,17.8,62,7.0,SSW,9,1012.8
58,2021-02-28,0,5197.76,18:30:00,10.6,26.7,0.0,2.4,9.2,SW,26.0,22:57,14.0,77.0,0,NNE,7.0,1013.4,26.1,38,5.0,SW,9,1010.0
59,2021-03-01,0,5225.37,07:00:00,13.8,21.7,0.0,6.4,6.3,S,44.0,18:35,16.6,72.0,6,WSW,6.0,1012.3,19.7,67,6.0,S,15,1012.2
60,2021-03-02,0,5459.22,07:00:00,13.3,18.1,0.0,6.2,1.4,SSW,39.0,13:24,14.7,55.0,7,S,15.0,1018.1,17.0,44,7.0,SSW,15,1018.6
61,2021-03-03,1,5526.41,07:00:00,14.2,17.7,0.0,4.4,2.1,SSW,33.0,14:42,15.2,62.0,7,SSE,11.0,1020.0,17.3,54,7.0,S,13,1019.8
62,2021-03-04,0,5528.66,07:00:00,13.6,21.4,0.0,4.0,2.6,WSW,35.0,22:37,15.3,60.0,7,WSW,11.0,1017.2,19.0,60,7.0,SSW,7,1015.3
63,2021-03-05,0,5319.54,07:00:00,15.0,18.0,1.4,4.4,3.6,S,35.0,0:36,15.8,55.0,7,S,13.0,1015.1,17.1,53,7.0,SSW,20,1015.7
64,2021-03-06,0,4839.75,19:00:00,14.2,19.4,0.0,5.6,10.0,S,33.0,17:07,15.2,57.0,7,SE,9.0,1014.8,18.3,58,2.0,S,17,1014.1
65,2021-03-07,0,5044.14,19:30:00,11.3,28.5,0.0,6.0,7.9,N,26.0,12:20,13.7,82.0,6,NE,7.0,1012.0,27.2,29,6.0,S,7,1008.2
66,2021-03-08,0,5266.54,17:30:00,13.7,19.6,0.2,6.0,0.0,SSW,31.0,16:30,17.4,88.0,8,WSW,6.0,1010.4,17.5,79,8.0,SSW,4,1010.3
67,2021-03-09,1,5527.62,07:00:00,13.5,19.6,5.4,0.2,6.9,SSE,33.0,14:44,14.2,93.0,7,WSW,6.0,1017.0,18.5,63,4.0,S,15,1018.0
68,2021-03-10,0,5538.74,07:00:00,12.2,20.1,0.2,6.8,7.2,SSW,30.0,14:35,15.5,81.0,7, ,0.0,1021.7,19.7,58,1.0,SW,11,1019.5
69,2021-03-11,0,5626.12,17:30:00,11.6,24.7,0.0,5.0,4.6,SSW,24.0,15:56,15.0,86.0,7,N,9.0,1018.6,21.0,69,7.0,SW,9,1016.2
70,2021-03-12,1,6115.65,18:30:00,14.9,30.3,0.0,4.0,10.1,N,26.0,12:35,17.9,94.0,1,N,7.0,1016.7,29.0,36,7.0,NNE,9,1012.6
71,2021-03-13,0,4898.9,17:00:00,17.7,27.2,0.0,9.6,0.3,N,41.0,6:36,24.5,52.0,7,N,17.0,1007.4,19.0,87,8.0,SW,6,1010.4
72,2021-03-14,0,4920.14,19:30:00,11.0,17.7,17.2,7.4,10.0,SW,31.0,2:19,11.9,71.0,1,W,7.0,1021.1,17.2,49,5.0,S,15,1021.8
73,2021-03-15,0,5619.41,07:00:00,8.9,22.2,0.0,2.4,5.2,S,24.0,22:26,11.1,74.0,5,NNE,9.0,1024.8,20.3,58,7.0,S,7,1023.3
74,2021-03-16,0,5580.93,07:00:00,11.1,20.6,0.0,2.2,8.0,SSW,26.0,13:50,16.2,68.0,7,SSE,9.0,1026.7,19.6,62,1.0,SSW,13,1024.7
75,2021-03-17,1,5765.54,18:00:00,13.9,26.4,0.0,2.8,9.9,S,24.0,13:29,16.2,86.0,0,NE,4.0,1025.1,25.4,50,2.0,SSW,9,1022.7
76,2021-03-18,0,5691.57,18:00:00,13.8,24.9,0.0,5.8,5.1,S,22.0,16:04,16.8,80.0,7,NE,4.0,1025.8,24.0,59,7.0,SSW,9,1024.0
77,2021-03-19,1,5467.08,07:00:00,14.2,26.1,0.0,5.2,6.1,ESE,31.0,19:22,16.1,88.0,7,NE,2.0,1027.2,24.3,63,3.0,SSW,11,1025.2
78,2021-03-20,0,4748.83,19:30:00,14.0,26.0,0.0,5.4,5.3,E,31.0,13:37,16.7,90.0,1, ,0.0,1027.4,24.0,49,7.0,ESE,13,1024.3
79,2021-03-21,0,4958.01,17:30:00,16.7,21.7,1.2,3.0,0.0,ESE,17.0,16:34,18.9,96.0,8,S,2.0,1022.6,21.5,86,8.0, ,0,1020.0
80,2021-03-22,1,5561.02,17:00:00,17.5,24.2,5.6,2.6,1.8,NNE,31.0,12:51,18.9,94.0,7,NNE,6.0,1018.8,21.6,72,7.0,N,13,1016.1
81,2021-03-23,3,5618.16,07:00:00,17.6,22.0,13.8,0.6,0.6,SSW,30.0,14:29,17.8,100.0,7,SSE,4.0,1007.6,21.0,78,7.0,SSW,11,1002.5
82,2021-03-24,0,5549.13,17:30:00,17.0,20.3,0.6,2.2,1.7,S,33.0,13:40,17.5,100.0,7,W,4.0,999.9,19.3,85,7.0,S,17,999.7
83,2021-03-25,2,5385.08,19:00:00,15.5,21.1,4.6,2.8,3.1,WNW,31.0,4:55,15.7,87.0,7,W,9.0,1005.3,19.8,52,7.0,WNW,13,1006.4
84,2021-03-26,1,5651.13,07:00:00,11.2,22.0,0.2,2.8,6.5,N,33.0,12:05,13.3,77.0,1,NE,9.0,1013.7,20.4,46,7.0,NNW,17,1011.0
85,2021-03-27,1,4860.61,19:00:00,13.2,21.3,3.4,3.8,4.1,NW,31.0,14:21,14.9,88.0,7,NNW,7.0,1010.8,19.9,44,2.0,WNW,7,1010.6
86,2021-03-28,1,5019.74,19:00:00,12.4,20.2,0.0,4.4,3.9,SSW,24.0,11:10,14.2,76.0,6,NNW,7.0,1018.8,18.3,55,7.0,SSW,9,1018.6
87,2021-03-29,1,5536.91,19:00:00,13.8,18.2,1.0,2.8,8.0,SSW,35.0,14:21,15.4,73.0,7,SSW,11.0,1024.0,17.4,55,7.0,S,15,1024.7
88,2021-03-30,2,5826.39,07:00:00,9.8,18.9,0.0,3.6,10.2,SSW,26.0,13:08,11.5,84.0,7,NE,2.0,1027.1,18.5,60,1.0,SSW,11,1025.7
89,2021-03-31,1,5769.1,07:00:00,11.4,22.8,0.0,3.2,8.9,S,19.0,15:44,15.3,77.0,7, ,0.0,1026.6,21.0,58,1.0,S,7,1023.7
90,2021-04-01,1,5807.02,18:00:00,12.4,29.9,0.0,4.4,10.8,NNW,20.0,11:49,14.4,86.0,1,NE,9.0,1024.3,28.7,30,3.0,SE,7,1021.6
91,2021-04-02,1,5439.82,18:00:00,13.5,30.6,0.0,6.6,10.8,N,15.0,6:00,15.1,75.0,2,NNE,9.0,1026.2,29.3,28,0.0,SSW,9,1023.1
92,2021-04-03,1,5723.27,18:00:00,15.1,31.6,0.0,4.4,10.9,N,37.0,11:45,21.9,55.0,0,NNW,17.0,1022.3,30.5,32,0.0,N,19,1018.3
93,2021-04-04,0,5014.06,19:00:00,15.2,24.5,0.0,8.6,10.1,S,35.0,14:18,22.9,50.0,0,NNW,11.0,1018.5,20.0,72,1.0,S,15,1018.0
94,2021-04-05,0,5078.44,19:00:00,16.0,19.0,0.0,5.8,8.1,SSW,30.0,15:38,16.9,58.0,7,SSE,9.0,1022.7,18.1,58,3.0,SSW,17,1021.5
95,2021-04-06,0,5573.79,19:00:00,12.8,20.2,0.0,4.0,4.4,SSW,26.0,12:38,16.2,64.0,7,SE,9.0,1023.7,19.6,59,6.0,SSW,11,1021.5
96,2021-04-07,1,5876.07,19:00:00,14.9,23.0,0.0,3.2,4.9,SSW,20.0,16:55,15.8,82.0,8, ,0.0,1020.2,21.6,61,1.0,SSW,9,1015.8
97,2021-04-08,0,5978.02,18:30:00,15.4,29.3,0.0,4.6,4.9,NNW,43.0,14:36,20.5,73.0,1,N,9.0,1011.0,28.9,25,7.0,NNW,17,1005.0
98,2021-04-09,1,5688.63,19:00:00,13.8,17.3,6.2,6.4,7.9,S,35.0,3:11,15.2,59.0,5,W,13.0,1010.0,15.7,62,6.0,S,17,1009.6
99,2021-04-10,0,5366.73,19:00:00,12.9,18.3,0.2,2.8,3.9,WSW,54.0,14:43,14.1,71.0,6,WNW,11.0,1007.9,15.4,53,7.0,SW,17,1008.0
100,2021-04-11,1,5829.16,19:00:00,8.1,14.5,3.4,5.2,6.1,S,56.0,12:02,9.8,75.0,4,WNW,11.0,1014.8,14.1,56,5.0,SSW,19,1016.9
101,2021-04-12,2,6415.58,19:00:00,9.7,16.8,10.0,3.2,3.9,W,28.0,2:30,11.7,95.0,6,WNW,6.0,1023.7,16.0,65,6.0,SSW,11,1021.8
102,2021-04-13,0,5990.97,18:30:00,7.8,20.0,0.6,0.0,2.5,N,59.0,15:18,11.5,81.0,7,NNE,9.0,1018.8,18.5,46,7.0,N,28,1011.6
103,2021-04-14,1,5731.88,19:00:00,11.5,20.8,0.0,7.8,6.8,N,43.0,1:40,18.0,46.0,1,NW,13.0,1010.9,20.1,46,7.0,WSW,11,1011.1
